Watching for file changes with StatReloader
Not Found: /accounts/login/
[25/Jan/2026 17:32:51] "GET /static/img/floorplan.svg HTTP/1.1" 200 693194
[25/Jan/2026 17:34:01] "GET /cowork/ HTTP/1.1" 200 128367
[25/Jan/2026 17:34:01] "GET /static/css/dist/styles.css?v=1769349841 HTTP/1.1" 200 143082
[25/Jan/2026 17:34:01] "GET /static/img/floorplan.svg HTTP/1.1" 200 693194
/app/cowork/views.py changed, reloading.
Performing system checks...

System check identified no issues (0 silenced).
January 25, 2026 - 17:06:56
Django version 5.2.9, using settings 'config.settings'
Starting development server at http://0.0.0.0:8000/
Quit the server with CONTROL-C.

WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead.
For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/
Watching for file changes with StatReloader
